Tip Matrice,Tip alocare,Nr threads,Timp executie
,,0,0.23357
,,2,1.49752
,,0,1112.611
,,1,1090.762
,,2,1097.601
,,4,1138.693
,,8,1116.549
,,16,1112.722
,,0,86.54833
,,0,87.76326
,,1,88.15516
,,2,87.47765
,,4,87.07677
,,8,87.06099
,,16,87.56829
,,0,85.7152
,,1,87.60798
,,0,86.13497
,,1,94.01132
,,1,88.52503
